tweet_id,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,author,period,query,sentiment,sentiment_label
1895591290064220224,Fri Feb 28 21:45:56 +0000 2025,La solución a todo lo que está ocurriendo es VAMOS!. Un partido político que se va a preocupar y ocupar de los problemas de la gente y va a terminar con la política nefasta propia de la mediocridad. VAMOS! España! Hablamos? ✌️🟨🇪🇦🇪🇺 https://t.co/ykuX3v1ibl,4,2,2,135,255,0,0,1,SalvadorMir,baseline_feb,política España,0.0,neutral
1895591076335071465,Fri Feb 28 21:45:05 +0000 2025,"@EVerastegui @realDonaldTrump Cierto, el mundo gobernado por demonios solo puede traer desdichas para la humanidad. 

Para mi desgracia vivo con un presidente maestro de los demonios… España. 

La corrupción, espolio y desfatachez política tiene a los españoles empobrecidos y deprimidos.",0,0,0,65,288,0,2,0,Entropia_social,baseline_feb,política España,0.0,neutral
1895590212790845469,Fri Feb 28 21:41:39 +0000 2025,Aquí la política española que según algunos es la esperanza para España. Dando palos de ciego. Otra súbdita de la Agenda 2030. Más woke que a quienes ella critica.,581,186,35,10545,163,0,0,0,crismartinj,baseline_feb,política España,0.0,neutral
1895588419990143077,Fri Feb 28 21:34:32 +0000 2025,"Estamos viviendo capítulos de una serie más propia de Netflix, broncas despacho oval q pueden ocasionar un grave problema, utilizan sin miedo alguno la frase 3GM, el Papá grave, EU dividida por todos sitios, España llena de corrupción política y engañando a los ciudadanos",3,0,0,72,272,0,0,0,JuanJubo,baseline_feb,política España,-0.8316,negative
1895587349167542443,Fri Feb 28 21:30:17 +0000 2025,"@RollingCarol @OperadorNuclear Siempre he pensado que es una pena que no tengamos al frente del gobierno de España, a una  política como Meloni.",1,0,0,52,144,0,2,0,LuisGarciaAlv15,baseline_feb,política España,-0.296,negative
1895586576417374549,Fri Feb 28 21:27:12 +0000 2025,#PilarAlegria suelta ocurrendencias que muestran su incultura política e histórica de España; pero da igual,1,0,1,25,107,1,0,0,PilarGarciaFlo1,baseline_feb,política España,0.0,neutral
1895585301306986946,Fri Feb 28 21:22:08 +0000 2025,"@liusivaya En España no hay libertad política, sino ciertas libertades civiles y derechos otorgados. En España no hay una democracia, sino un Estado de partidos y una partidocracia.",69,12,3,7513,181,0,1,0,capitandistrito,baseline_feb,política España,-0.5267,negative
1895584585905496217,Fri Feb 28 21:19:18 +0000 2025,@fatimamartinez @marodriguezb Qué piensas del novio de Ayuso. Es un personaje muy oscuro y sostenido por la presidenta de la comunidad de Madrid y MAR.Te parece bien.Lo que le falta a España es mucha cultura política y mucha pedagogía para ser un ciudadano crítico y « éclairé » como decían en Francia los filo,1,0,1,26,310,0,2,0,Chantal490689,baseline_feb,política España,0.0,neutral
1895584181163606201,Fri Feb 28 21:17:41 +0000 2025,"@OperadorNuclear @djgarcia1978 Que lástima que en España no este gobernando una política similar, le vendría muy bien.",7,0,1,522,118,0,2,0,LuisGarciaAlv15,baseline_feb,política España,-0.296,negative
1895583883594514924,Fri Feb 28 21:16:30 +0000 2025,"A continuación se presenta un análisis crítico extenso que recoge antecedentes, fundamentos éticos y una opinión no neutral, evaluando la polémica derivada de la declaración que critica la actuación de Claudia Sheinbaum en el manejo de la memoria histórica y la cultura política,",0,0,0,13,279,0,0,0,FRANCISCOJVERD1,baseline_feb,política España,-0.296,negative
1895583781417074710,Fri Feb 28 21:16:06 +0000 2025,"“Señor Putin: 

Artículo 1

1. España se constituye en un Estado social y democrático de Derecho, que propugna como valores superiores de su ordenamiento jurídico la libertad, la justicia, la igualdad y el pluralismo político.

2. La soberanía nacional reside en el pueblo https://t.co/jOkgL0W3jq",511,74,21,26756,296,0,0,1,Espball,baseline_feb,política España,0.0,neutral
1895583744872100298,Fri Feb 28 21:15:57 +0000 2025,"@ZelenskyyUa @geoestratego España y toda Europa debe de entender que Zelenski no tiene la
Capacidad política para ganarle una guerra a Rusia. Zelenski como actor quiere ser el protagonista de la tercera guerra mundial, una locura que España no debe de apoyar.
Un acuerdo beneficia a Ucrania.",6,1,4,2730,291,0,2,0,EuclidesLaVega,baseline_feb,política España,-0.5267,negative
1895582255663427762,Fri Feb 28 21:10:02 +0000 2025,"@jl_nevado La misma gente con la que discutes sobre por qué apoya a Rusia, empezó con una postura equidistante por estos mismos elementos. Hay neonazis en Ucrania igual que los hay en España, en el Reino Unido, o en Alemania, hasta el punto de ser segunda fuerza política allí.",2,0,2,107,277,0,1,0,GuillLecuLell,baseline_feb,política España,0.0,neutral
1895582175757811758,Fri Feb 28 21:09:43 +0000 2025,"@JorgitoMozo Gracias por el cumplido, pero nunca me planteé pasar al primer plano de la política. Mi papel en UPyD fue siempre interno y de apoyo a los que sí tenían el coraje de hacerlo, nunca como candidato. 

Pero sí, fue una oportunidad perdida para España.",0,0,0,8,261,0,1,0,Paco_Glez_,baseline_feb,política España,0.0,neutral
1895581440143966525,Fri Feb 28 21:06:48 +0000 2025,"Ayuso es la alumna aventajadísima de Trump en España.

Esa política del disparate, el odio y la furia. Ya lo vimos. Y lo venceremos.",63,25,2,1554,132,0,0,0,hugomabarca,baseline_feb,política España,0.0,neutral
1895581393738154023,Fri Feb 28 21:06:37 +0000 2025,"José Manuel Rambla autor de 'Sagunto 1984, reconversión industrial y cambio social': “No es apología de la nostalgia” La obra, con una mirada colectiva, pretende ser una radiografía política, económica, social y cultural de una época en España que marcaron el devenir del país en",1,1,0,29,279,0,0,0,antonio_arnau,baseline_feb,política España,0.0,neutral
1895580854392644037,Fri Feb 28 21:04:28 +0000 2025,"Trump habría negociado con Hitler que se quedaran Francia, y media Europa para acabar la guerra. Y con Japón para que se quedase media Asia. 

Nos quejamos de que el hijoputa de Sánchez Castejón haya cambiado bruscamente la política exterior de España sin encomendarse a nadie",4,1,1,371,276,0,0,0,M0NICAC0,baseline_feb,política España,-0.5574,negative
1895579653060112644,Fri Feb 28 20:59:42 +0000 2025,@MariaMu24417972 Este es el nivel de la política en España. Oleeee,0,0,0,5,66,0,1,0,bLKtL1GDEz17576,baseline_feb,política España,0.0,neutral
1895578887410893148,Fri Feb 28 20:56:39 +0000 2025,"@IdiazAyuso Isabel, a partir de ahora  me da igual lo que digan que has hecho o dicho. Ya no creo nada. Cierro filas ante la única política que parece que no es politica,  eres sensata, responsable e integra y asi gobernarás España y por eso no te van dejar en paz, temen la motosierra",1,0,0,55,285,0,1,0,PezEfervescente,baseline_feb,política España,-0.6808,negative
1895577732484120904,Fri Feb 28 20:52:04 +0000 2025,"@MarotoReyes Pues sí, es una vergüenza... La corrupción política en España de SU GOBIERNO no deja de asombrarnos: piso de lujo gratis, cobrando de 2 empresas públicas sin ir a trabajar, viajes pagados con nuestros impuestos para mayor disfrute del ministro... Impresionante, señora.",0,0,0,5,282,0,1,0,agberbel,baseline_feb,política España,-0.6808,negative
1895576887285477451,Fri Feb 28 20:48:42 +0000 2025,"Este viernes tuve el honor de participar en la inauguración de la exposición Sufragistas en @AMAmuseum , organizada por la @EspOEA @CarmenMonton.

Esta es una extraordinaria iniciativa que nos permite recuperar la memoria democrática y rendir homenaje a nuestras ancestras: https://t.co/pNk8DgbA8P",9,2,0,274,297,0,3,1,AlejandraMoraM,baseline_feb,política España,0.4939,positive
1895576769379570031,Fri Feb 28 20:48:14 +0000 2025,@MartaJaenes Se la pueden dar de la mano la nueva política como aquí el cáncer de España la izquierda terrorista y independentistas.,0,0,0,116,132,0,1,0,valenjuanka,baseline_feb,política España,0.0,neutral
1895576384468369882,Fri Feb 28 20:46:42 +0000 2025,"@iescolar En España, el gobierno insultaria a los medios que publiquen eso,y los medios de comunicación zurdos lo defenderían como abogados del gobierno,y atacarían a la oposición política por protestar e indicar la corrupción",0,0,0,1,226,0,1,0,Van_Haggen,baseline_feb,política España,0.0,neutral
1895575865469386970,Fri Feb 28 20:44:39 +0000 2025,"- Nos hemos desentendido d la política gracias a las ayuditas, sin cotizar.
- España tiene mucho trabajo por hacer. Otra cosa es q nuestró jóvenes estén dispuesto a hacerlo.
- Que sepan q en unos años sus padres no podrán mantenerlos. ¿De qué comerán y pagarán el móvil?",0,0,0,5,270,0,0,0,Gladiatur2,baseline_feb,política España,-0.7003,negative
1895575773446299815,Fri Feb 28 20:44:17 +0000 2025,"@ernestorr @adrianparisiok No olvides la masacre en la Casa de los Sindicatos, Ernesto. Este tipo es el sostén política de la ultraderecha nazi en Ucrania. P. D.: No sé si es para suscriptores (creo que sí), pero te paso la discusión COMPLETA y subtitulada de ""El País"" (de España): https://t.co/aNUrkklqp8",1,0,0,56,306,0,2,1,hernan8371,baseline_feb,política España,-0.5267,negative
