tweet_id,month,month_name,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
2000145017290039775,12,December,Sun Dec 14 10:05:07 +0000 2025,"RT @PSOE: 📢 No te pierdas el acto de campaña desde Cáceres.

⏰ A partir de las 11:00 h.

Intervienen:

🌹 @sanchezcastejon
🌹 @magallardomir…",0,81,0,,139,0,3,0,-0.5574,negative
1999849795045748868,12,December,Sat Dec 13 14:32:01 +0000 2025,"Lamento profundamente el fallecimiento de Héctor Alterio, actor inmenso y querido, que dejó una huella imborrable en el cine, el teatro y la televisión.

Su talento y su humanidad seguirán vivos en cada uno de sus trabajos.

Todo mi cariño a su familia y amigos.",9054,1385,1067,272370,262,0,0,0,0.0,neutral
1999408587656016103,12,December,Fri Dec 12 09:18:49 +0000 2025,"El rechazo a las políticas neoliberales es el éxito del modelo español, que no es otro que el modelo socialdemócrata.

Mi entrevista en @espressonline:",10520,2451,4698,1125805,151,0,1,0,-0.296,negative
1999171930448929005,12,December,Thu Dec 11 17:38:25 +0000 2025,"La paz en Ucrania requiere firmeza y una acción conjunta. 

Proteger a Ucrania es proteger a Europa.

Desde la Coalición de Voluntarios trabajamos unidos para reforzar las garantías de seguridad y apoyar al pueblo ucraniano. https://t.co/1pjC0Ixo4r",3198,764,3013,687153,248,0,0,1,0.0,neutral
1998821460903694821,12,December,Wed Dec 10 18:25:47 +0000 2025,"España camina y caminará siempre de la mano de Palestina.

Un país amigo.
Un país hermano. https://t.co/2smmh8CukZ",48686,6099,6713,3486226,114,0,0,1,0.0,neutral
1998803914821611528,12,December,Wed Dec 10 17:16:03 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

El presidente del Gobierno, @sanchezcastejon, comparece ante los medios junto al presidente de Palestina,…",0,291,0,,140,0,2,0,0.0,neutral
1998738781701103685,12,December,Wed Dec 10 12:57:14 +0000 2025,"RT @desdelamoncloa: El presidente del Gobierno, @sanchezcastejon, ha asistido al acto de toma de posesión de la nueva fiscal general del Es…",0,181,0,,140,0,2,0,0.34,positive
1998695696828862900,12,December,Wed Dec 10 10:06:02 +0000 2025,"El feminismo a todos nos da lecciones, a mí el primero.

Pero la gran diferencia entre el PP y nosotros es que nosotros asuminos los errores cuando se cometen y actuamos en consecuencia.

Ustedes lo que hacen es abrazarse al error histórico que se llama Vox. https://t.co/kEccoDCKUR",3023,901,2419,97522,282,0,0,1,-0.4019,negative
1998674129780621346,12,December,Wed Dec 10 08:40:20 +0000 2025,"El machismo es un problema estructural. Una de cada tres mujeres ha sufrido violencia machista en algún momento. 

Este es el Gobierno que más apoya a las mujeres. 

Si hay una amenaza, es la coalición negacionista del Sr. Feijóo con el Sr. Abascal. https://t.co/G8t1ccpX5k",2785,880,3191,224700,273,0,0,1,0.34,positive
1998663722714472586,12,December,Wed Dec 10 07:58:59 +0000 2025,"RT @desdelamoncloa: El jefe del Ejecutivo, @sanchezcastejon, y las ministras y ministros del Gobierno responden a las preguntas de la sesió…",0,52,0,,140,0,2,0,0.0,neutral
1998655794602975391,12,December,Wed Dec 10 07:27:29 +0000 2025,"Hoy nos deja Robe Iniesta.

Si ""toda la vida es un cuento y hay que saber contarlo"", él lo cantó como nadie: con verdad, con rabia, con belleza.

Despedimos a un poeta que nos enseñó a no rendirnos jamás.

Su legado será eterno.
Hasta siempre, Robe.
https://t.co/UQ1zmDDW3v",23056,2651,1184,1714771,273,0,0,1,-0.296,negative
1998507328581324889,12,December,Tue Dec 09 21:37:32 +0000 2025,"Mi más sentido pésame para la familia de la mujer asesinada en Barcelona por la #ViolenciaDeGénero.

En lo que llevamos de mes cuatro mujeres han sido asesinadas por la violencia machista. Insoportable.

Más unidad y todos los recursos para que las mujeres vivan libres y seguras.",1238,312,490,164284,280,1,0,0,0.0,neutral
1998480794822824046,12,December,Tue Dec 09 19:52:06 +0000 2025,"100 años después, su legado sigue iluminando el camino de quienes creemos en el progreso y en un futuro mejor. 

Pablo Iglesias Posse fue el fundador del @PSOE y hoy, y cada día, rendimos homenaje a su recuerdo. 

Gracias por todo, compañero.
https://t.co/G121X4Gn9N",1401,434,680,92311,266,0,1,1,0.0,neutral
1998478261274218512,12,December,Tue Dec 09 19:42:02 +0000 2025,"En el PP no hay argumentos ni proyecto. Solo hay insultos.

Su finalidad es clara, quieren hartar a la gente. Pero se equivocan.

La gente no se va a hartar nunca de que España avance. Así que ellos a insultar, nosotros a gobernar y España a avanzar. https://t.co/jL6DY8FNGZ",4129,1244,1349,72329,274,0,0,1,-0.5267,negative
1998475780418928739,12,December,Tue Dec 09 19:32:10 +0000 2025,"Es un honor y un privilegio que aquí en España tengamos un Gobierno progresista.

Un Gobierno que sube el SMI, revaloriza las pensiones y extiende los permisos de maternidad y paternidad. 

Gobernamos para MEJORAR LA VIDA DE LA GENTE. https://t.co/0zeHCQ3YOe",4834,1212,2537,117101,258,0,0,1,0.4939,positive
1998437693764534392,12,December,Tue Dec 09 17:00:50 +0000 2025,"RT @PSOE: 📢 Acto Homenaje a nuestro fundador, Pablo Iglesias Posse.

⏳A partir de las 18:00 h.

Intervienen:

🌹@sanchezcastejon 
🌹@SG_UGT…",0,72,0,,138,0,3,0,0.0,neutral
1998395897822986670,12,December,Tue Dec 09 14:14:45 +0000 2025,"Todo mi cariño para las familias de las mujeres asesinadas en Toledo y Sevilla por el terror de la #ViolenciaDeGénero.

No son dos casos más. Son dos mujeres menos, dos vidas arrebatadas.

Vivir sin miedo y libres de violencias machistas es una prioridad de país.

#NiUnaMenos",1492,405,640,94797,276,2,0,0,-0.8481,negative
1998360438824947803,12,December,Tue Dec 09 11:53:51 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

La portavoz del Gobierno, Pilar Alegría, y los ministros de @_minecogob y @sanidadgob, Carlos Cuerpo y Mó…",0,102,0,3,140,0,3,0,0.0,neutral
1997272075913093228,12,December,Sat Dec 06 11:49:05 +0000 2025,"Frente a los discursos reaccionarios y a quienes quieren desmantelar el Estado del bienestar.

Reivindicamos la Constitución Española y la acción de un Gobierno progresista que está con el derecho humanitario internacional, el multilateralismo y la defensa de una Europa fuerte. https://t.co/hsQbWE2uQR",4630,1370,2621,112091,302,0,0,1,0.0,neutral
1997260067222302863,12,December,Sat Dec 06 11:01:21 +0000 2025,"RT @desdelamoncloa: 🔴EN DIRECTO

Declaraciones del presidente del Gobierno, @sanchezcastejon, previas al acto conmemorativo del 47º anivers…",0,113,0,5,140,0,2,0,0.0,neutral
1997206109153886222,12,December,Sat Dec 06 07:26:57 +0000 2025,"Hoy celebramos 47 años de democracia, libertad, derechos y convivencia.

Cumplir con la Constitución es el mejor camino para avanzar hacia un futuro de igualdad y justicia social, con servicios públicos fuertes que mejoren la vida de la gente.

¡Feliz #DíadelaConstitución! https://t.co/t5rkudWvW9",4522,1151,2788,255506,297,1,0,1,0.0,neutral
1996894364468236394,12,December,Fri Dec 05 10:48:11 +0000 2025,"El deporte español puede decir con orgullo que es inclusivo, igualitario y solidario.

El nuevo Comité Ejecutivo del Deporte Español nos ayudará a seguir avanzando en su modernización.

Porque España sabe de qué va esto: de esfuerzo, de equipo y de ambición. https://t.co/vVm50qGPkj",2108,626,1436,116976,282,0,0,1,0.0,neutral
1996867342488502503,12,December,Fri Dec 05 09:00:49 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

Intervención del presidente @sanchezcastejon en la presentación del proyecto Modelo del Deporte, en la se…",0,108,0,3,140,0,2,0,0.0,neutral
1996655521320030611,12,December,Thu Dec 04 18:59:07 +0000 2025,"Garantizamos las pensiones por ley.

Porque los mayores habéis dado los mejores años de vuestras vidas por este país. https://t.co/rC2pgTBZFi",3746,1113,1204,97507,141,0,0,1,0.0,neutral
1996653226922590403,12,December,Thu Dec 04 18:49:59 +0000 2025,"Son pacientes, no clientes.

Son estudiantes, no clientes.

Son personas con discapacidad, no clientes. https://t.co/UbZvMhDyrP",8019,2304,1905,167558,127,0,0,1,-0.6808,negative
1996624112203219085,12,December,Thu Dec 04 16:54:18 +0000 2025,"RT @PSOE: 📢 No te pierdas el acto de apertura de campaña en Plasencia.

⏳A partir de las 18:00 h.

Intervienen:
🌹@sanchezcastejon
🌹@magalla…",0,64,0,3,140,0,3,0,-0.296,negative
1996562552092754250,12,December,Thu Dec 04 12:49:41 +0000 2025,"Junto con el jefe de Gobierno de Marruecos, Aziz Ajanouch, reforzamos la voluntad de España y Marruecos por el diálogo y la cooperación y por una relación más moderna, global y transversal que ponga a la ciudadanía en el centro.

Nuestros lazos sociales, económicos y humanos son https://t.co/15Xt2g7MgN",2345,516,1685,285602,303,0,0,1,0.0,neutral
1996541015734583308,12,December,Thu Dec 04 11:24:06 +0000 2025,"RT @desdelamoncloa: 🔴EN DIRECTO

El jefe del Ejecutivo, @sanchezcastejon, y el primer ministro de marroquí, Aziz Akhannouch, presiden la fi…",0,137,0,6,140,0,2,0,0.0,neutral
1996231976185926081,12,December,Wed Dec 03 14:56:05 +0000 2025,"Este es el modelo del PP: hacer de la salud un negocio y de la enfermedad una oportunidad para enriquecerse. 

El CEO de una empresa decidiendo sobre la vida de la gente: en eso consiste la privatización de la sanidad. Más listas de espera, más rentabilidad, más injusticias.

No",9975,3409,2128,410256,279,0,0,0,-0.296,negative
